Disease,Medicine_Name,Risk_Factors,Precautions_x,Descriptions,Symptoms
ascariasis,['no medicine available (consult doctor)'],"['Children likely to play in dirt, Poor sanitation.']","['Avoid ingesting soil that may be contaminated with human or pig feces, washing hands before food']",No Description found for this disease,No Symptoms found for this disease
asthma,"['Albuterol', 'Levalbuterol', nan]","[',Wheezing when exhaling,Shortness of breath,Chest tightness or pain.', ',Wheezing when exhaling,Shortness of breath,Chest tightness or pain.', ',Wheezing when exhaling,Shortness of breath,Chest tightness or pain.']","['switch to loose clothing, take deep breaths, get away from trigger, seek help', 'switch to loose clothing, take deep breaths, get away from trigger, seek help', 'switch to loose clothing, take deep breaths, get away from trigger, seek help']",No Description found for this disease,No Symptoms found for this disease
autism,['no medicine available (consult doctor)'],"['Family history, being a boy, Other disorders, Extremely preterm babies, older parents at birth of child']","['Live healthy. Have regular check-ups, eat well-balanced meals, and exercise.']",No Description found for this disease,No Symptoms found for this disease
bird flu,['Oseltamivir (Tamiflu)'],"['contact with sick birds or with surfaces contaminated by their feathers, saliva or droppings']","['Use different utensils for cooked and raw meat, cook meat fully, avoid contact with live poultry.']",No Description found for this disease,No Symptoms found for this disease
bladder stones,['No medicine....'],"[""Nerve damage. Stroke, spinal cord injuries, Parkinson's disease, diabetes, being man""]","['Drink plenty of fluids, especially water.']",No Description found for this disease,No Symptoms found for this disease
brain hemorrhage,['Antihypertensive drug'],"['Smoking, excessive alcohol, hypocholesterolemia, drugs, Old age, male sex, chronic kidney disease']","[""Don't smoke,Don't use drugs,Investigate corrective surgery""]",No Description found for this disease,No Symptoms found for this disease
breast cysts,['no medicine available (consult doctor)'],['Having HRT can increase the risk of developing new cysts.'],['No precaution'],No Description found for this disease,No Symptoms found for this disease
bronchitis,['Analgesic'],"['Cigarette smoke, Gastric reflux, Exposure to irritants on the job, weak immunity.']","[""Don't smoke, Wash your hands frequently, wear mask in a large crowd, Avoid contacting ill people""]",No Description found for this disease,No Symptoms found for this disease
cerebral palsy,['Sedative'],"['Low birth weight, severe or untreated jaundice, Premature birth, Viral encephalitis, Toxoplasmosis']","['Making sure child is vaccinated,Using proper car seat, Using crib with bed rail, Never shake a baby.']",No Description found for this disease,No Symptoms found for this disease
cervical spondylosis,"['Nonsteroidal anti-inflammatory drugs (NSAIDs)', 'analgesic']","['Older age, stress on your neck, Neck injuries, Genetic factors, Smoking', 'Older age, stress on your neck, Neck injuries, Genetic factors, Smoking']","['use heating pad or cold pack,exercise,take otc pain reliever,consult doctor', 'use heating pad or cold pack,exercise,take otc pain reliever,consult doctor']","Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).","['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance']"
chicken pox,"['Analgesic', 'Antihistamine']","[""People who haven't already had chickenpox."", ""People who haven't already had chickenpox.""]","['Use neem in bathing, consume neem leaves, take vaccine, avoid public places\n', 'Use neem in bathing, consume neem leaves, take vaccine, avoid public places\n']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.","['itching', 'skin_rash', 'fatigue', 'lethargy', 'high_fever', 'headache', 'loss_of_appetite', 'mild_fever', 'swelled_lymph_nodes', 'malaise', 'red_spots_over_body']"
chikungunya,['Analgesic'],"['Older age, people with underlying medical conditions, such as hypertension, diabetes, or heart disease.']","['Prevent mosquito bites, Use insect repellent, wear long-sleeved shirts and pants.']",No Description found for this disease,No Symptoms found for this disease
chlamydia,['Isoniazid (antibiotics)'],"['Having a sex partner with multiple partners, Having multiple sex partners, Having had another STD']","['Use condom during sexual intercourse, have sexually monogamous partner with no infection.']",No Description found for this disease,No Symptoms found for this disease
cholera,['Isoniazid (antibiotics)'],"['Poor sanitary conditions, Reduced or nonexistent stomach acid, Type O blood, undercooked shellfish.']","['Drink safe water, Wash your hands often with soap, Use toilets, use safe water for cooking.']",No Description found for this disease,No Symptoms found for this disease
chronic cholestasis,['Ursodeoxycholic acid (UDCA)\n\n'],"['infections from viruses such as HIV, hepatitis, cytomegalovirus']","['Cold baths, anti itch medicine, consult doctor, eat healthy\n']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']"
cirrhosis,"['Antiviral drugs', 'Isoniazid (antibiotics)']","['Excessive alcohol consumption, Having viral hepatitis, obesity.', 'Excessive alcohol consumption, Having viral hepatitis, obesity.']","[""Don't abuse alcohol,Avoid high-risk sexual behavior,Get vaccinated against hepatitis B,low-fat diet."", ""Don't abuse alcohol,Avoid high-risk sexual behavior,Get vaccinated against hepatitis B,low-fat diet.""]",No Description found for this disease,No Symptoms found for this disease
common cold,"['Nasal decongestants', 'Analgesic']","['Children younger than 6, weakened immune system, Smoking', 'Children younger than 6, weakened immune system, Smoking']","['drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check\n', 'drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check\n']","The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.","['continuous_sneezing', 'chills', 'fatigue', 'cough', 'high_fever', 'headache', 'swelled_lymph_nodes', 'malaise', 'phlegm', 'throat_irritation', 'redness_of_eyes', 'sinus_pressure', 'runny_nose', 'congestion', 'chest_pain', 'loss_of_smell', 'muscle_pain']"
conjunctivitis,['no medicine available (consult doctor)'],"['Using contact lenses, Exposure to something for which you have an allergy.']","['Avoid touching your eyes with unwashed hands, Do not share items used by an infected person.']",No Description found for this disease,No Symptoms found for this disease
cystic fibrosis,"['Isoniazid (antibiotics)', 'Penicillin']","['Family history, it is most common in white people.', 'Family history, it is most common in white people.']","['Appropriate hand hygiene, build up immunity', 'Appropriate hand hygiene, build up immunity']",No Description found for this disease,No Symptoms found for this disease
dementia,['no medicine available (consult doctor)'],"['Depression, smoking, Diabetes, Sleep apnea, Down syndrome, Family history, Heavy alcohol use']","['Balanced diet, exercising regularly, stopping smoking, keeping alcohol within recommended limits.']",No Description found for this disease,No Symptoms found for this disease
dengue,['Analgesic'],"['Living or traveling in tropical areas, Prior infection with a dengue fever virus']","['drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated\n']","an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.","['skin_rash', 'chills', 'joint_pain', 'vomiting', 'fatigue', 'high_fever', 'headache', 'nausea', 'loss_of_appetite', 'pain_behind_the_eyes', 'back_pain', 'malaise', 'muscle_pain', 'red_spots_over_body']"
depression,['Selective serotonin reuptake inhibitors (SSRIs)'],"['Certain traits, Traumatic events, family history, alcoholism or suicide, intersex, chronic illness']","['Handle stress, improve your self-esteem, Get enough sleep, eat well, and exercise regularly']",No Description found for this disease,No Symptoms found for this disease
diabetes,"['Metformin', 'Sulfonylureas', 'Meglitinides', 'Thiazolidinediones', 'DPP-4 inhibitors', 'GLP-1 receptor agonists', 'SGLT2 inhibitors', 'Insulin']","['coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries', 'coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries', 'coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries', 'coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries', 'coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries', 'coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries', 'coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries', 'coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries']","['have balanced diet,exercise,consult doctor,follow up', 'have balanced diet,exercise,consult doctor,follow up', 'have balanced diet,exercise,consult doctor,follow up', 'have balanced diet,exercise,consult doctor,follow up', 'have balanced diet,exercise,consult doctor,follow up', 'have balanced diet,exercise,consult doctor,follow up', 'have balanced diet,exercise,consult doctor,follow up', 'have balanced diet,exercise,consult doctor,follow up']","Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']"
diphtheria,"['Isoniazid (antibiotics)', 'Penicillin']","['People living in unsanitary conditions, anyone who tours where diphtheria infections are more common', 'People living in unsanitary conditions, anyone who tours where diphtheria infections are more common']","['Prevent contact with infected persons.', 'Prevent contact with infected persons.']",No Description found for this disease,No Symptoms found for this disease
down syndrome,['no medicine available (consult doctor)'],['Family history'],['No precaution'],No Description found for this disease,No Symptoms found for this disease
drug allergy,"['Antihistamine', 'Steroid']","['History of food allergy or hay fever, history of drug allergy, Increased exposure to a drug', 'History of food allergy or hay fever, history of drug allergy, Increased exposure to a drug']","['Stop irritation, consult nearest hospital, stop taking drug and follow up\n', 'Stop irritation, consult nearest hospital, stop taking drug and follow up\n']",No Description found for this disease,No Symptoms found for this disease
e. coli infection,['no medicine available (consult doctor)'],"['Weakened immune systems, Eating certain types of food, being non vegetarian.']","['Wash hands, cutting boards, utensils after they touch raw meat. Avoid raw milk, unpasteurized dairy']",No Description found for this disease,No Symptoms found for this disease
eczema,"['Antihistamine', 'steroid']","['Family history of eczema, allergies, hay fever or asthma.', 'Family history of eczema, allergies, hay fever or asthma.']","['Establish a skin care routine, Use mild soap, use gloves if job requires hands in water', 'Establish a skin care routine, Use mild soap, use gloves if job requires hands in water']",No Description found for this disease,No Symptoms found for this disease
epilepsy,['Lyrics(pregabalin)'],"['Family history, Family history, Stroke and other vascular diseases, Dementia, Brain infections.']","['Take frequent breaks, drink lots of water, Wear protective clothing, Avoid busy streets when riding']",No Description found for this disease,No Symptoms found for this disease
fibromyalgia,"['Selective serotonin reuptake inhibitors (SSRIs)', 'Analgesic']","['Family history, being woman, osteoarthritis, rheumatoid arthritis or lupus', 'Family history, being woman, osteoarthritis, rheumatoid arthritis or lupus']","['Get adequate sleep, Reduce emotional and mental stress, Get regular exercise, Eat a balanced diet.', 'Get adequate sleep, Reduce emotional and mental stress, Get regular exercise, Eat a balanced diet.']",No Description found for this disease,No Symptoms found for this disease
food allergy,['Antihistamine'],"['Atopic dermatitis, Family history, hay fever']","['Apply calamine, cover area with bandage, use ice to compress itching\n']",No Description found for this disease,No Symptoms found for this disease
fungal infection,"['Antifungal\xa0cream', 'Antifungal liquids', 'Antifungal sprays']","['Colonization, broad-spectrum antibiotics, indwelling central catheter', 'Colonization, broad-spectrum antibiotics, indwelling central catheter', 'Colonization, broad-spectrum antibiotics, indwelling central catheter']","['Bath twice, use dettol or neem in bathing water, keep infected area dry, use clean cloths\n', 'Bath twice, use dettol or neem in bathing water, keep infected area dry, use clean cloths\n', 'Bath twice, use dettol or neem in bathing water, keep infected area dry, use clean cloths\n']","In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.","['itching', 'skin_rash', 'nodal_skin_eruptions', 'dischromic _patches']"
gerd,"['antacid', 'Antidiarrhoeal', 'Proton-pump inhibitor']","['Obesity, Connective tissue disorders, such as scleroderma.', 'Obesity, Connective tissue disorders, such as scleroderma.', 'Obesity, Connective tissue disorders, such as scleroderma.']","['Avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise\n', 'Avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise\n', 'Avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise\n']","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.","['stomach_pain', 'acidity', 'ulcers_on_tongue', 'vomiting', 'cough', 'chest_pain']"
gallstones,['Statin'],"['Sickle cell anemia or leukemia, Family history, being woman, diabetes, Being pregnant.']","['Eat more food that is high in fiber, fewer refined carbohydrates, less sugar, Avoid unhealthy fat']",No Description found for this disease,No Symptoms found for this disease
gastritis,"['Isoniazid (antibiotics)', 'Penicillin']","['Excessive alcohol use, Stress, Older age, Bacterial infection, vitamin B-12 deficiency.', 'Excessive alcohol use, Stress, Older age, Bacterial infection, vitamin B-12 deficiency.']","['Avoid known trigger foods, quit smoking, manage stress, avoiding alcohol, maintain healthy weight.', 'Avoid known trigger foods, quit smoking, manage stress, avoiding alcohol, maintain healthy weight.']",No Description found for this disease,No Symptoms found for this disease
gastroenteritis,"['Imodium', 'Pepto-Bismol,']","['measles and immunodeficiencies put the patient at a higher risk for a gastrointestinal', 'measles and immunodeficiencies put the patient at a higher risk for a gastrointestinal']","['stop eating solid food for while, try taking small sips of water, rest, ease back into eating', 'stop eating solid food for while, try taking small sips of water, rest, ease back into eating']","Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .","['vomiting', 'sunken_eyes', 'dehydration', 'diarrhoea']"
giardiasis,['Isoniazid (antibiotics)'],"['Children, People without access to safe drinking water, rural or wilderness areas']","['Practice good hygiene, Avoid contaminated water,eating contaminated food, Prevent contact with feces']",No Description found for this disease,No Symptoms found for this disease
gonorrhoea,['Isoniazid (antibiotics)'],"['Having a sex partner with multiple partners, Having multiple sex partners, Having had another STD']","['Use condom during sexual intercourse, have sexually monogamous partner with no infection.']",No Description found for this disease,No Symptoms found for this disease
gout,['Isoniazid (antibiotics)'],"['High levels of uric acid, Alcohol consumption, Obesity, high BP, chronic condition, being man.']","['Limit the intake of alcohol, fat, lose weight, Eat more complex carbohydrates, drink lots of water.']",No Description found for this disease,No Symptoms found for this disease
heart attack,['intravenous'],"['Tobacco, old age, High blood cholesterol, Obesity, Diabetes, Stress, An autoimmune condition']","[""Eat a healthy diet, Get regular exercise, Limit alcohol, Don't smoke, Manage stress""]","The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.","['vomiting', 'breathlessness', 'sweating', 'chest_pain']"
hepatitis a,['No Medicine'],"['Travel in areas where hepatitis A is common, have a clotting-factor disorder, such as hemophilia']","['wearing of latex gloves when handling faeces, urine, saliva, and blood.']",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,"['joint_pain', 'vomiting', 'yellowish_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'diarrhoea', 'mild_fever', 'yellowing_of_eyes', 'muscle_pain']"
herpes,['Oseltamivir (Tamiflu)'],"['Having multiple sexual partners, being woman, having sex during a herpes outbreak.']","['Always use condoms and dental dams during oral, anal, and vaginal sex.']",No Description found for this disease,No Symptoms found for this disease
hypertension,"['Benazepril (Lotensin)', 'Acebutolol (Sectral)']","['Diabetes, Unhealthy Diet, Obesity, Excessive Alcohol, Tobacco Use, Family History, high BP', 'Diabetes, Unhealthy Diet, Obesity, Excessive Alcohol, Tobacco Use, Family History, high BP']","['meditation,salt baths,reduce stress,get proper sleep', 'meditation,salt baths,reduce stress,get proper sleep']","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.","['headache', 'chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration']"
hypoglycemia,['Levothyroxine'],"['Taking too much insulin, skipping a meal, or exercising harder than usual.']","['Lie down on side, check in pulse, drink sugary drinks.\n']", Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,"['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurred_and_distorted_vision', 'excessive_hunger', 'drying_and_tingling_lips', 'slurred_speech', 'irritability', 'palpitations']"
hypothyroidism,['Levothyroxine'],"['Woman, older age, family history of thyroid, autoimmune disease, Received radiation to your neck']","['Reduce stress, exercise, eat healthy, get proper sleep\n']","Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.","['fatigue', 'weight_gain', 'cold_hands_and_feets', 'mood_swings', 'lethargy', 'dizziness', 'puffy_face_and_eyes', 'enlarged_thyroid', 'brittle_nails', 'swollen_extremeties', 'depression', 'irritability', 'abnormal_menstruation']"
impetigo,"['Penicillin', 'Isoniazid (antibiotics)']","['Diabetes, weakened immune system, children ages 2 to 5, Crowded conditions, Broken skin', 'Diabetes, weakened immune system, children ages 2 to 5, Crowded conditions, Broken skin']","['Wash your hands often with soap and water, use alcohol hand rubs, Do not share personal items\n', 'Wash your hands often with soap and water, use alcohol hand rubs, Do not share personal items\n']","Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","['skin_rash', 'high_fever', 'blister', 'red_sore_around_nose', 'yellow_crust_ooze']"
insomnia,['antihistamine'],"['Older age, being woman, during menopause, menstrual cycle or pregnancy,stress,mental health disorder']","['Avoid caffeine, alcohol late in the day, exercise regularly, Make your sleep place comfortable.']",No Description found for this disease,No Symptoms found for this disease
iritis,['steroid'],"['Develop a sexually transmitted infection, Smoke tobacco, Have a specific genetic alteration.']","['Protecting the eye from injury, avoid exposure of eye to infections, foods rich in vitamins C and E.']",No Description found for this disease,No Symptoms found for this disease
jaundice,['No medicine (consult doctor immediately)'],"['Premature birth, Significant bruising during birth, Blood type, Breast-feeding, Race']","['drink plenty of water,consume milk thistle,eat fruits and high fibrous food,medication']","Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it","['itching', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']"
kidney stones,['diuretic'],"['Dehydration, family history, Digestive diseases, obesity, diet high in protein, sodium and sugar']","['Stay hydrated, Eat more calcium-rich foods and Eat less sodium, oxalate-rich foods, animal protein.']",No Description found for this disease,No Symptoms found for this disease
leprosy,"['Isoniazid (antibiotics)', 'steroid']","['Living in an endemic region, contact of person suffering from leprosy', 'Living in an endemic region, contact of person suffering from leprosy']","['Early diagnosis and treatment of people who are infected.', 'Early diagnosis and treatment of people who are infected.']",No Description found for this disease,No Symptoms found for this disease
lupus,['steroid'],"['Men, Blacks,Latinos and Asian Americans are more likely to have lupus nephritis than whites.']","['Limit direct sunlight, Get enough sleep, manage stress, Stay away from people who are sick.']",No Description found for this disease,No Symptoms found for this disease
lyme disease,"['Isoniazid (antibiotics)', 'Penicillin']","['Spending time in wooded or grassy areas, Not removing ticks promptly or properly', 'Spending time in wooded or grassy areas, Not removing ticks promptly or properly']","['Use insect repellents, tick-proof your yard, Check your clothing, your children and pets for ticks', 'Use insect repellents, tick-proof your yard, Check your clothing, your children and pets for ticks']",No Description found for this disease,No Symptoms found for this disease
malaria,"['Chloroquine phosphate', 'Artemisinin-based combination therapies']","['Availability of mosquito breeding site or stagnant water near the home, staying outdoors overnight.\n\n', 'Availability of mosquito breeding site or stagnant water near the home, staying outdoors overnight.\n\n']","['Avoid oily food, avoid non veg food, keep mosquitos out\n', 'Avoid oily food, avoid non veg food, keep mosquitos out\n']",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,"['chills', 'vomiting', 'high_fever', 'sweating', 'headache', 'nausea', 'diarrhoea', 'muscle_pain']"
measles,['Analgesic'],"['Being unvaccinated, Having a vitamin A deficiency, travelling to places where measles is common']","['Practice good hand hygiene, Don\x92t share personal items with people who may be ill, get vaccinated']",No Description found for this disease,No Symptoms found for this disease
meningitis,"['Isoniazid (antibiotics)', 'Penicillin']","['Skipping vaccinations, pregnant women, weak immune system, AIDS, alcoholism, diabetes, using drugs', 'Skipping vaccinations, pregnant women, weak immune system, AIDS, alcoholism, diabetes, using drugs']","['Cover your mouth when coughing or sneezing, Clean your hands before eating, do not contact ill person', 'Cover your mouth when coughing or sneezing, Clean your hands before eating, do not contact ill person']",No Description found for this disease,No Symptoms found for this disease
migraine,"['antipsychotics', 'analgesic', 'stimulant']","['Skipping meals, Too much or too little sleep, Stress, Smoking, Depression, anxiety, excessive alcohol', 'Skipping meals, Too much or too little sleep, Stress, Smoking, Depression, anxiety, excessive alcohol', 'Skipping meals, Too much or too little sleep, Stress, Smoking, Depression, anxiety, excessive alcohol']","['meditation,reduce stress,use polaroid glasses in sun,consult doctor', 'meditation,reduce stress,use polaroid glasses in sun,consult doctor', 'meditation,reduce stress,use polaroid glasses in sun,consult doctor']","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']"
multiple sclerosis,"['steroid', 'immunosuppressive drug']","['Family history, being woman, Smoking, Vitamin D deficiency, diabetes, inflammatory bowel disease', 'Family history, being woman, Smoking, Vitamin D deficiency, diabetes, inflammatory bowel disease']","['No precaution', 'No precaution']",No Description found for this disease,No Symptoms found for this disease
mumps,['Analgesic'],"['Being unvaccinated, travelling to places where mumps is common, contact of ill person']","['Cover your mouth when coughing or sneezing, Clean your hands before eating, do not contact ill person']",No Description found for this disease,No Symptoms found for this disease
muscular dystrophy,['steroid'],['Family history'],"['Exercise, Braces, Mobility aids, Breathing assistance, swimming.']",No Description found for this disease,No Symptoms found for this disease
osteoarthritis,['Analgesic'],"['Older age, overweight, being a woman, Joint injuries, Bone deformities, certain metabolic diseases.']","['acetaminophen, salt baths, Keep a healthy body weight, Prevent injury to your joints.\n']",No Description found for this disease,No Symptoms found for this disease
pcos,['Metformin'],"['Diabetes, High blood pressure, Unhealthy cholesterol, Depression and anxiety.']","['Maintain a healthy weight, Limit carbohydrates, Be active, Exercise regularly.']",No Description found for this disease,No Symptoms found for this disease
paroxysmal positional vertigo,['No Medicine'],"['Age 50 and older, being woman, head injury, disorder of the balance organs of your ear.']","['Lie down, avoid sudden change in body, avoid abrupt head movement, relax\n']",No Description found for this disease,No Symptoms found for this disease
peptic ulcer,['Proton pump inhibitors'],"['taking NSAIDs, Smoking, H. pylori infected, alcohol consumption, untreated stress.']","['Avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol\n']",No Description found for this disease,No Symptoms found for this disease
phthiriasis,['no medicine available (consult doctor)'],['If in sexual contact with person with pubic lice.'],"[""Do not use infected person's personal items""]",No Description found for this disease,No Symptoms found for this disease
piles,"['steroid', 'Lidocaine']","['Pregnancy and older age', 'Pregnancy and older age']","['Avoid fatty spicy food, consume witch hazel, warm bath with Epsom salt, consume Aloe Vera juice', 'Avoid fatty spicy food, consume witch hazel, warm bath with Epsom salt, consume Aloe Vera juice']",No Description found for this disease,No Symptoms found for this disease
pneumonia,"['Penicillin', 'Isoniazid (antibiotics)']","['Asthma, chronic obstructive pulmonary disease (COPD) or heart disease, Smoking, weakened immunity', 'Asthma, chronic obstructive pulmonary disease (COPD) or heart disease, Smoking, weakened immunity']","[""Practice good hygiene, Don't smoke, Practice a healthy lifestyle, Avoid sick people\n"", ""Practice good hygiene, Don't smoke, Practice a healthy lifestyle, Avoid sick people\n""]","Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.","['chills', 'fatigue', 'cough', 'high_fever', 'breathlessness', 'sweating', 'malaise', 'phlegm', 'chest_pain', 'fast_heart_rate', 'rusty_sputum']"
polio,['polio vaccine (OPV)'],"['Children younger than 5, unvaccinated individuals']","['Getting vaccinated,']",No Description found for this disease,No Symptoms found for this disease
